"vendor","part_number","surface_index","radius_mm","thickness_mm","glass_name","glass_catalog","conic","aspheric_coeffs_json","clear_aperture_mm","surface_type","is_stop"
"EdmundOptics","08-083","0",,,,,,,,"STANDARD","0"
"EdmundOptics","08-083","1","17.049999999999994","7.64","C79-80","CORNING_FS",,,"8.5","STANDARD","1"
"EdmundOptics","08-083","2","-17.049999999999994","17.18581700085087",,,,,"8.5","STANDARD","0"
"EdmundOptics","08-083","3",,"0",,,,,,"STANDARD","0"
"EdmundOptics","08-084","0",,,,,,,,"STANDARD","0"
"EdmundOptics","08-084","1","35.98999999999998","4.29","C79-80","CORNING_FS",,,"8.5","STANDARD","1"
"EdmundOptics","08-084","2","-35.98999999999998","38.50108851210586",,,,,"8.5","STANDARD","0"
"EdmundOptics","08-084","3",,"0",,,,,,"STANDARD","0"
"EdmundOptics","08083","0",,,,,,,,"STANDARD","0"
"EdmundOptics","08083","1","17.049999999999994","7.64","C79-80","CORNING_FS",,,"8.5","STANDARD","1"
"EdmundOptics","08083","2","-17.049999999999994","17.18581700085087",,,,,"8.5","STANDARD","0"
"EdmundOptics","08083","3",,"0",,,,,,"STANDARD","0"
"EdmundOptics","08084","0",,,,,,,,"STANDARD","0"
"EdmundOptics","08084","1","35.98999999999998","4.29","C79-80","CORNING_FS",,,"8.5","STANDARD","1"
"EdmundOptics","08084","2","-35.98999999999998","38.50108851210586",,,,,"8.5","STANDARD","0"
"EdmundOptics","08084","3",,"0",,,,,,"STANDARD","0"
"EdmundOptics","11-356","0",,,,,,,,"STANDARD","0"
"EdmundOptics","11-356","1","8.370000000000008","5","N-BAF10","SCHOTT",,,"4.05","STANDARD","1"
"EdmundOptics","11-356","2","-7.010000000000016","2","N-SF57","SCHOTT",,,"4.05","STANDARD","0"
"EdmundOptics","11-356","3","-26.18000000000002","8.330939571989113",,,,,"4.05","STANDARD","0"
"EdmundOptics","11-356","4",,"0",,,,,,"STANDARD","0"
"EdmundOptics","11-357","0",,,,,,,,"STANDARD","0"
"EdmundOptics","11-357","1","27.63000000000001","8","N-BAF10","SCHOTT",,,"9.5","STANDARD","1"
"EdmundOptics","11-357","2","-17.580000000000013","2","N-SF10","SCHOTT",,,"9.5","STANDARD","0"
"EdmundOptics","11-357","3","-171.25","34.40019474467263",,,,,"9.5","STANDARD","0"
"EdmundOptics","11-357","4",,"0",,,,,,"STANDARD","0"
"EdmundOptics","11-732","0",,,,,,,,"STANDARD","0"
"EdmundOptics","11-732","1","98.66000000000015","8.5","N-BK7","SCHOTT",,,"20","STANDARD","1"
"EdmundOptics","11-732","2","-70.72999999999979","4","N-SF5","SCHOTT",,,"20","STANDARD","0"
"EdmundOptics","11-732","3","-205.71999999999986","154.15639257715657",,,,,"20","STANDARD","0"
"EdmundOptics","11-732","4",,"0",,,,,,"STANDARD","0"
"EdmundOptics","11-733","0",,,,,,,,"STANDARD","0"
"EdmundOptics","11-733","1","124.12000000000002","8.5","N-BK7","SCHOTT",,,"20","STANDARD","1"
"EdmundOptics","11-733","2","-87.26","4","N-SF5","SCHOTT",,,"20","STANDARD","0"
